Filter, Mean, FWHM
U1, 3527.10, 779.13
U2, 3533.31, 631.61
g, 4850.98, 1386.62
r, 6234.11, 1502.92
i, 7767.72, 1553.56
z, 8917.86, 773.04
y, 9789.78, 782.81
Y, 10223.08, 923.37
J, 12555.79, 1718.52
H, 16498.66, 2905.59
Ks, 21577.91, 3075.13
NB118, 11850, 112.18
IA484, 4850.24, 229.12
IA527, 5262.31, 242.71
IA624, 6234.56, 299.87
IA679, 6782.80, 335.86
IA738, 7362.93, 323.82
IA767, 7686.57, 364.85
IB427, 4264.41, 207.28
IB464, 4636.10, 218.09
IB505, 5063.56, 231.50
IB574, 5766.07, 272.82
IB709, 7075.04, 316.24
IB827, 8245.87, 342.86
NB711, 7120.04, 72.34
NB816, 8149.62, 119.64
IRAC_1, 35572.59, 7431.71
IRAC_2, 45049.28, 10096.82
IRAC_3, 57385.68, 13911.89
IRAC_4, 79273.74, 28311.77
IRAC_CH1, 35572.59, 7431.71
IRAC_CH2, 45049.28, 10096.82
B, 4478.41, 892.35
V, 5492.99, 954.32
SC_gp, 4808.53, 1265.39
SC_ip, 7709.06, 1496.96
SC_r, 6314.85, 1375.64
SC_zp, 9054.50, 846.54
SC_zpp, 9124.80, 1334.54
NUV, 2344.90, 795.65
FUV, 1545.83, 227.81
FIR_24, 236747.51723785553, 50346.132264529035
MIPS70, 714193.8973576294, 188537.73827655322
FIR_160, 1558939.3488322329, 344677.8777555111
FIR_100, 1036928.7672083108, 364272.54509018036
PACS160, 1697691.3266361363, 767553.106212425
FIR_250, 2536859.825705622, 750971.2336673341
FIR_350, 3557125.9213876263, 1039682.6436873749
FIR_500, 5191371.409869207, 1972782.9863727456